"Cell.lines","cluster","drug","drug_label","AUC"
"ACH-000019","CL-B","X....CAMPTOTHECIN","Camptothecin",0.3608348246
"ACH-000019","CL-B","X1.AZAKENPAULLONE","Azakenpaullone",0.9009221135
"ACH-000019","CL-B","X1.NAPHTHYL.PP1","Naphthyl Pp1",0.8506221203
"ACH-000019","CL-B","X10.DEACETYLBACCATIN","Deacetylbaccatin",0.8587011503
"ACH-000019","CL-B","X10.HYDROXYCAMPTOTHECIN","Hydroxycamptothecin",0.311147491
"ACH-000019","CL-B","AZD4547","Azd4547",0.9976610961
"ACH-000019","CL-B","X12.O.TETRADECANOYLPHORBOL.13.ACETATE","O Tetradecanoylphorbol 13 Acetate",0.5537446386
"ACH-000019","CL-B","TANESPIMYCIN","Tanespimycin",0.8017291927
"ACH-000019","CL-B","X2..MECCPA","Meccpa",0.8827676769
"ACH-000019","CL-B","X2.3.DCPE","Dcpe",0.9923147947
"ACH-000019","CL-B","X2.METHOXYESTRADIOL","Methoxyestradiol",0.9315387772
"ACH-000019","CL-B","X212631.79.3","",0.9153534684
"ACH-000019","CL-B","SORAFENIB","Sorafenib",0.8803329194
"ACH-000019","CL-B","X3..FLUOROBENZYLSPIPERONE","Fluorobenzylspiperone",0.9595452302
"ACH-000019","CL-B","X3.AMINO.BENZAMIDE","Amino Benzamide",0.9614180484
"ACH-000019","CL-B","X3.DEAZANEPLANOCIN.A","Deazaneplanocin A",0.8635443871
"ACH-000019","CL-B","X4..4.FLUOROBENZOYL..1..4.PHENYLBUTYL..PIPERIDINE","Fluorobenzoyl  1  4 Phenylbutyl  Piperidine",0.8931205618
"ACH-000019","CL-B","X4.CHLOROPHENYLGUANIDINE","Chlorophenylguanidine",0.9408025163
"ACH-000019","CL-B","X4.HYDROXY.PHENAZONE","Hydroxy Phenazone",0.9970452352
"ACH-000019","CL-B","X4.IODO.6.PHENYLPYRIMIDINE","Iodo 6 Phenylpyrimidine",1
"ACH-000019","CL-B","X4.METHYLGENISTEIN","Methylgenistein",0.9924058477
"ACH-000019","CL-B","X4.METHYLHISTAMINE","Methylhistamine",0.9708677626
"ACH-000019","CL-B","X4.PYRIMIDINECARBONITRILE","Pyrimidinecarbonitrile",0.9585158117
"ACH-000019","CL-B","AZACITIDINE","Azacitidine",0.9270625354
"ACH-000019","CL-B","X5XE","Xe",0.94725565
"ACH-000019","CL-B","X7.AMINOCEPHALOSPORANIC.ACID","Aminocephalosporanic Acid",1
"ACH-000019","CL-B","X7.NITROINDAZOLE","Nitroindazole",0.9941402606
"ACH-000019","CL-B","X8.BROMO.CGMP","Bromo Cgmp",1
"ACH-000019","CL-B","X8.HYDROXY.PIPAT","Hydroxy Pipat",0.9756142731
"ACH-000019","CL-B","X9.AMINOACRIDINE","Aminoacridine",0.854584073
"ACH-000019","CL-B","A.1065.5","A 1065 5",0.8544971862
"ACH-000019","CL-B","A.61603","A 61603",0.7877872103
"ACH-000019","CL-B","A.674563","A 674563",0.7898583246
"ACH-000019","CL-B","A.803467","A 803467",1
"ACH-000019","CL-B","AB1010","Ab1010",0.9978613049
"ACH-000019","CL-B","ABEMACICLIB","Abemaciclib",0.8563268001
"ACH-000019","CL-B","ABIRATERONE","Abiraterone",1
"ACH-000019","CL-B","METHOTREXATE","Methotrexate",0.5515820509
"ACH-000019","CL-B","ABT.869","Abt 869",0.9619661673
"ACH-000019","CL-B","VELIPARIB","Veliparib",0.9734658103
"ACH-000019","CL-B","ABT.702","Abt 702",0.9098303979
"ACH-000019","CL-B","ABT.737","Abt 737",0.9558903763
"ACH-000019","CL-B","ABT.751","Abt 751",0.6089623054
"ACH-000019","CL-B","AC.220","Ac 220",0.8816972376
"ACH-000019","CL-B","AC.264613","Ac 264613",0.8663498681
"ACH-000019","CL-B","ACALABRUTINIB","Acalabrutinib",0.9231558722
"ACH-000019","CL-B","ACDPP","Acdpp",0.9127272156
"ACH-000019","CL-B","ACESULFAME.POTASSIUM","Acesulfame Potassium",1
"ACH-000019","CL-B","ACETAZOLAMIDE","Acetazolamide",0.9287894431
"ACH-000019","CL-B","ACETOPHENAZINE","Acetophenazine",0.9584812666
"ACH-000019","CL-B","ACETYLSALICYLSALICYLIC.ACID","Acetylsalicylsalicylic Acid",0.940284951
"ACH-000019","CL-B","ACIVICIN","Acivicin",0.9098490876
"ACH-000019","CL-B","ACY.1215","Acy 1215",0.9841431799
"ACH-000019","CL-B","ADAPALENE","Adapalene",1
"ACH-000019","CL-B","ADAPREV","Adaprev",0.9119231791
"ACH-000019","CL-B","ADAROTENE","Adarotene",0.6864015519
"ACH-000019","CL-B","ADAVOSERTIB","Adavosertib",0.7324813301
"ACH-000019","CL-B","ADEFOVIR.DIPIVOXIL","Adefovir Dipivoxil",0.8918311574
"ACH-000019","CL-B","ADL5859","Adl5859",1
"ACH-000019","CL-B","AEE788","Aee788",0.9382295925
"ACH-000019","CL-B","AEG3482","Aeg3482",0.9825502402
"ACH-000019","CL-B","AFATINIB","Afatinib",0.8993419741
"ACH-000019","CL-B","AFOBAZOLE","Afobazole",0.9893089982
"ACH-000019","CL-B","AFURESERTIB","Afuresertib",0.8285383684
"ACH-000019","CL-B","RUCAPARIB","Rucaparib",0.9152337324
"ACH-000019","CL-B","AG.13736","Ag 13736",0.9268467038
"ACH-000019","CL-B","AG.14361","Ag 14361",1
"ACH-000019","CL-B","AJMALINE","Ajmaline",0.9879659285
"ACH-000019","CL-B","AK.55409","Ak 55409",0.7909924799
"ACH-000019","CL-B","AKBA","Akba",0.9335786956
"ACH-000019","CL-B","AL.39256","Al 39256",0.8434312598
"ACH-000019","CL-B","ALBENDAZOLE","Albendazole",0.7881228052
"ACH-000019","CL-B","ALECTINIB","Alectinib",0.9386927263
"ACH-000019","CL-B","ALEXIDINE","Alexidine",0.9755993514
"ACH-000019","CL-B","ALFACALCIDOL","Alfacalcidol",0.8833106132
"ACH-000019","CL-B","ALISERTIB","Alisertib",0.9839482228
"ACH-000019","CL-B","ALMOREXANT","Almorexant",0.997042475
"ACH-000019","CL-B","ALPELISIB","Alpelisib",0.8189498147
